grid,cell_key,count,flat_rms,phox_rms,improvement,flat_norm_r95,phox_norm_r95,flat_norm_diag,phox_norm_diag,color_std,opacity_std,scale_std,center_x,center_y,center_z,eig0,eig1,eig2,tier,context_class_v22,predicted_native_render_bps,predicted_native_exact_bps,predicted_exact_correction_bps,predicted_native_exact_bytes,vq_fallback_bytes_for_region,predicted_region_savings_bytes
32,3503,2184,0.010135823290160731,0.009869466607860297,0.02627874171395602,0.08466243879250504,0.08243761643060318,0.030719484239034228,0.029912214847130702,0.037224337458610535,0.3148956894874573,1.2406123876571655,-0.07292982709932024,0.006622453002885702,-3.115037211527427,0.0030802688438772543,0.002222651071417442,8.100599963501603e-05,native_exact_phoxoid,curved_exact_candidate,7.691647,10.900260,2.958613,23807,54681,30875
32,3504,1104,0.008148044898278809,0.008113340831343083,0.004259189458204498,0.074424573978332,0.07410758561741214,0.02529354040383577,0.025185810423187082,0.04195338487625122,0.3009963035583496,1.2618341445922852,0.1561675054351023,0.010167505837633447,-3.113345550994078,0.003993970815256408,0.0022355642253685925,7.587944852166753e-05,native_exact_phoxoid,appearance_exact_candidate,8.092619,11.414303,3.071684,12602,27641,15040
32,3506,751,0.010095602921557893,0.009975860932500314,0.011860806133914449,0.08550250313803799,0.08448837452435332,0.030943525279542188,0.030576510125101656,0.04513397440314293,0.2870320677757263,1.319342851638794,0.5664274521792928,0.00999892724955013,-3.1041823414464793,0.003571156505698458,0.002241085791722642,0.00011286354777070837,native_exact_phoxoid,appearance_exact_candidate,8.228558,11.624935,3.146377,8731,18803,10073
32,3507,426,0.011789213567909811,0.011728128862980218,0.005181406255618748,0.09050993405808215,0.09004096531955795,0.036252905444596376,0.03606506441354139,0.05157701298594475,0.2268514484167099,1.3530079126358032,0.7943353165561954,0.011923741493167958,-3.0808558904876313,0.0032486606150061706,0.001966012498047244,0.00013640330140442057,native_exact_phoxoid,appearance_exact_candidate,8.417243,11.854699,3.187456,5051,10666,5616
32,3508,381,0.013285003325258542,0.012728391563525447,0.04189775102839599,0.07707034507686844,0.07384127094716524,0.039951667589753215,0.0382777825679085,0.04456017166376114,0.2544516324996948,1.434191346168518,0.9956646463063759,0.010071792843108194,-3.0778751454641187,0.004297851928347854,0.002892631962687366,0.00017649131335212902,native_exact_phoxoid,appearance_exact_candidate,8.256390,11.739499,3.233109,4473,9540,5067
32,3509,130,0.01429643598752327,0.013987460124103535,0.02161209015235565,0.0958027506701554,0.09373225298582835,0.04330042521423636,0.04236461252087095,0.02325686253607273,0.2830146849155426,1.348821759223938,1.2095878619414109,0.013567261332243036,-3.1192408910164464,0.006862921487102902,0.003625882324695258,0.00020438808194535115,native_exact_phoxoid,appearance_exact_candidate,8.450919,11.923251,3.222333,1551,3255,1705
32,3512,86,0.014911843711157788,0.014236084100961766,0.04531697242041135,0.10852769392240574,0.10360954741007324,0.0456591987944775,0.04359006214197009,0.06411048769950867,0.28959834575653076,1.150402545928955,1.8709812912830086,0.0065934983815464495,-3.150618553161621,0.004641460973503333,0.0038430772099667504,0.00022236308286599624,native_exact_phoxoid,appearance_exact_candidate,8.444420,12.022704,3.328283,1034,2154,1120
32,3513,119,0.013884295448322034,0.013091929316309843,0.05706923588318992,0.0899767424322159,0.08484183849435074,0.04200481623951855,0.03960763347331542,0.12541332840919495,0.3036011755466461,0.9866464138031006,2.0839345695591773,-0.0018775801753606687,-3.087294676724602,0.003818083233290537,0.003252133946701635,0.00019277366009629634,native_exact_phoxoid,appearance_exact_candidate,8.465228,12.164501,3.449272,1448,2980,1532
32,3514,143,0.015031867266920323,0.014377100975738756,0.04355854662331076,0.10620301145095022,0.101576962625128,0.04639610604174076,0.04437515909358152,0.12487868964672089,0.2919866740703583,1.0458332300186157,2.2833347303884013,0.0025630680098478404,-3.1234082825533993,0.0053222741697397545,0.00239376631029588,0.00022595703353031068,native_exact_phoxoid,appearance_exact_candidate,8.720023,12.477303,3.507280,1785,3581,1797
32,4518,60,0.012584234528244068,0.012303239626329524,0.022329121511831272,0.0868049472086652,0.08486666899461481,0.03866793739311743,0.03780451632045462,0.04118310660123825,0.29583126306533813,1.0576789379119873,-1.9667050977547964,0.020883516951774556,-2.8652258992195128,0.004982968545234273,0.0033643468461305873,0.00015836295866184874,native_exact_phoxoid,curved_exact_candidate,7.899343,11.157201,3.007859,670,1503,833
