grid,cell_key,count,flat_rms,phox_rms,improvement,flat_norm_r95,phox_norm_r95,flat_norm_diag,phox_norm_diag,color_std,opacity_std,scale_std,center_x,center_y,center_z,eig0,eig1,eig2,hash_context,context_class,context_prior_bps_delta,predicted_raw_bps,entropy_factor,predicted_entropy_bps,precision_tier,estimated_payload_bytes,estimated_entropy_payload_bytes,estimated_exact_correction_bytes
32,17847,119,0.00391479265412084,0.0034043760153709295,0.13038152562502364,0.0364123986832709,0.031664894591279434,0.01555610238026963,0.013527874019151015,0.06043229624629021,0.3017984628677368,1.2042866945266724,1.6812649965286255,0.04183420579598731,0.3139699485872974,0.0033297110684278415,0.0006549090656124351,1.5325601524758646e-05,293,curved_surface,0.292542016806723,8.69558740407984,0.86,7.478205167508662,n8_c8_o8_s8,1119,974,465
32,17852,127,0.00988151899162719,0.009541598521198657,0.034399617175917475,0.06573245191045263,0.06347128072869865,0.02980956248586383,0.02878412494816852,0.02494231052696705,0.3374333381652832,1.3033899068832397,2.6817004117440053,0.038737713389087644,0.338418249304839,0.005959298086248203,0.002509860772388932,9.764441758188989e-05,295,mixed_surface,-0.23189431018660098,10.910317576106928,0.94,10.255698521540513,n12_c12_o8_s8,1470,1386,506
32,17858,305,0.00864028681948086,0.008339593376460147,0.03480132654193302,0.05754714479611001,0.05554442781850469,0.025878565157227713,0.02497795676075434,0.0355539470911026,0.19577164947986603,1.1340473890304565,-2.851490037949359,0.06850339929099943,0.3411699548119404,0.005442868194423862,0.003764191106272816,7.465455632289526e-05,288,mixed_surface,0.0,10.138172908717678,0.94,9.529882534194616,n12_c12_o8_s8,3176,2991,1206
32,17859,231,0.00961481759268001,0.009382245088963952,0.024188966818582368,0.06861025224559644,0.06695064113061314,0.029120941531550783,0.028416536043118223,0.03558685630559921,0.17615260183811188,1.2384061813354492,-2.621250500410666,0.07107842632960447,0.35992254845765764,0.004754712868597494,0.003539911834543389,9.24447173405086e-05,288,mixed_surface,0.0,11.037060994104221,0.94,10.374837334457968,n12_c12_o8_s8,2634,2481,921
32,17884,250,0.00939700647102512,0.009291040605116896,0.011276555596184804,0.0675633763868439,0.06680149421675169,0.028592585903306926,0.028270160018729597,0.025743164122104645,0.2918103039264679,1.2838733196258545,2.710449575424194,0.057661266162991526,0.34768341755867005,0.005295569614854556,0.0034675012688922713,8.830373061648863e-05,295,mixed_surface,-0.23189431018660098,11.09760435999356,0.94,10.431748098393946,n12_c12_o8_s8,2858,2692,997
32,17885,267,0.007910425387491688,0.007825288793701144,0.010762580976386653,0.05847752770238009,0.05784815857518433,0.023877313909066212,0.023620332384621284,0.02586190029978752,0.2594611942768097,1.2519422769546509,2.938821547040332,0.05475705735078465,0.36117071968116116,0.005792405631433354,0.003640945716635292,6.25748298110734e-05,295,mixed_surface,-0.23189431018660098,10.39829829344608,0.94,9.774400395839315,n12_c12_o8_s8,2860,2694,1058
32,18514,96,0.0013809632758021411,0.001179804195725496,0.14566577084376173,0.012743842075320097,0.010887500495907431,0.0053670972142025345,0.004585294861302316,0.06582055240869522,0.025400878861546516,0.9799526333808899,0.5234868358820677,-0.7578705375393232,0.6023302404209971,0.004206441112756365,0.0004881859288566757,1.9070595691142833e-06,260,curved_surface,0.5459494773519167,7.25,0.86,6.235,n8_c8_o8_s8,780,683,370
32,18604,213,0.00839743370367473,0.008022076923374923,0.04469898704118985,0.07082119376184287,0.06765555813964065,0.02992145759171993,0.028583998746574128,0.11946890503168106,0.08831300586462021,1.6707203388214111,-0.6334679994224942,-0.5687607980110276,0.6069079962134921,0.004687849240302562,0.00036917220432377065,7.051689280761164e-05,267,mixed_surface,0.0,11.488709071950204,0.94,10.79938652763319,n12_c12_o8_s8,2531,2384,852
32,18739,114,0.00635521950683778,0.0061065330825342745,0.03913105189143124,0.053585734275663516,0.05148886812708208,0.02513200173998497,0.024148560075762077,0.06987547129392624,0.13408242166042328,1.362525224685669,0.695078404326188,-0.25868779629991767,0.5928009487034982,0.0036644548005280103,0.00024858159836517745,4.038881498009141e-05,284,curved_surface,0.6111331569664902,10.775770680653816,0.86,9.26716278536228,n12_c12_o8_s8,1312,1140,453
32,18834,224,0.007071863469380696,0.006653580427729444,0.0591474995893667,0.054491204709294784,0.05126818620112768,0.022895468419724035,0.02154125871077005,0.11580241471529007,0.30348464846611023,1.330723762512207,0.6016723196953535,-0.07713517935813538,0.6250191314944199,0.0049563216548300475,0.0020048233032484404,5.0011252929560515e-05,284,curved_surface,0.6111331569664902,11.08838469231498,0.86,9.536010835390883,n12_c12_o8_s8,2568,2220,893
32,18876,111,0.009557644077572218,0.008703589790815272,0.08935824349863095,0.06298037131368396,0.057352555958201594,0.029714577984204123,0.027059335489232554,0.030856173485517502,0.28485915064811707,1.396583080291748,2.677984583485234,0.039238129505417774,0.5716739444582312,0.0035451709750414363,0.002632824385826111,9.134856031355117e-05,295,mixed_surface,-0.23189431018660098,10.214487258258576,0.94,9.601618022763061,n12_c12_o8_s8,1218,1150,439
32,19565,1260,0.00799498587902709,0.007914984243229915,0.010006476184909836,0.06260780742789177,0.06198132389387515,0.02553505041377223,0.025279534539926346,0.13551115989685059,0.298651784658432,1.387813687324524,-0.4773955945856869,-0.6728610314118365,0.8543012432443599,0.0046056665922104625,0.001971869996465417,6.101541324186663e-05,331,mixed_surface,0.29054053029153915,11.768307772181908,0.94,11.062209305850994,n12_c12_o8_s8,14912,14022,5055
32,19570,720,0.006970561064453242,0.006796810906997718,0.024926280086917687,0.05830269564619763,0.05684942632469819,0.02478834360606716,0.024170462410451576,0.15570701658725739,0.31107431650161743,1.3326070308685303,0.5350317285240939,-0.6730117625556886,0.8563920569916567,0.004790661811393976,0.0012609266828570327,5.690486226012381e-05,332,mixed_surface,0.9859344422700586,12.14208274165757,0.94,11.413557777158115,n12_c12_o8_s8,8826,8302,2898
